Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,72783,60258,   -5845,    2230,12525,deacmesf,index
31/03/26,78628,58028,    9110,   -4867,20600,deacmesf,index
24/03/26,69518,62895,   -8593,    8866,6623,deacmesf,index
17/03/26,78111,54029,     224,    1071,24082,deacmesf,index
10/03/26,77887,52958,    1289,  -21254,24929,deacmesf,index
03/03/26,76598,74212,   -3712,    4689,2386,deacmesf,index
24/02/26,80310,69523,   -8963,    4660,10787,deacmesf,index
17/02/26,89273,64863,    7077,   -3973,24410,deacmesf,index
10/02/26,82196,68836,   -1690,    -863,13360,deacmesf,index
03/02/26,83886,69699,   -5593,    8375,14187,deacmesf,index
27/01/26,89479,61324,    3994,   -3027,28155,deacmesf,index
20/01/26,85485,64351,  -12296,   -4289,21134,deacmesf,index
13/01/26,97781,68640,     469,    3914,29141,deacmesf,index
06/01/26,97312,64726,     505,   -7030,32586,deacmesf,index
30/12/25,96807,71756,    3174,    9956,25051,deacmesf,index
23/12/25,93633,61800,  -22853,   -8310,31833,deacmesf,index
16/12/25,116486,70110,    6722,    8397,46376,deacmesf,index
09/12/25,109764,61713,    1815,    2082,48051,deacmesf,index
02/12/25,107949,59631,    3010,   12085,48318,deacmesf,index
25/11/25,104939,47546,    5480,   -5503,57393,deacmesf,index
18/11/25,99459,53049,   -2167,    1239,46410,deacmesf,index
10/11/25,101626,51810,    7649,    6004,49816,deacmesf,index
04/11/25,93977,45806,   -6797,  -12666,48171,deacmesf,index
28/10/25,100774,58472,    -205,    6355,42302,deacmesf,index
21/10/25,100979,52117,    9024,   12989,48862,deacmesf,index
14/10/25,91955,39128,   -1253,  -10739,52827,deacmesf,index
07/10/25,93208,49867,    3329,     996,43341,deacmesf,index
30/09/25,89879,48871,     -92,  -17695,41008,deacmesf,index
23/09/25,89971,66566,    -214,   -5813,23405,deacmesf,index
16/09/25,90185,72379,    1406,    9073,17806,deacmesf,index
09/09/25,88779,63306,    9218,    -811,25473,deacmesf,index
02/09/25,79561,64117,   -9939,   10699,15444,deacmesf,index
26/08/25,89500,53418,    1875,    -362,36082,deacmesf,index
19/08/25,87625,53780,  -10290,   -1823,33845,deacmesf,index
12/08/25,97915,55603,   11364,    2888,42312,deacmesf,index
05/08/25,86551,52715,    1541,    2659,33836,deacmesf,index
29/07/25,85010,50056,    8581,    4355,34954,deacmesf,index
22/07/25,76429,45701,   -9468,   -5304,30728,deacmesf,index
15/07/25,85897,51005,    4350,     669,34892,deacmesf,index
08/07/25,81547,50336,    3324,    -751,31211,deacmesf,index
01/07/25,78223,51087,    1571,   -9056,27136,deacmesf,index
24/06/25,76652,60143,   -6517,   -7332,16509,deacmesf,index
17/06/25,83169,67475,    -864,    1169,15694,deacmesf,index
10/06/25,84033,66306,    1244,   -1813,17727,deacmesf,index
03/06/25,82789,68119,   -2237,     125,14670,deacmesf,index
27/05/25,85026,67994,    2389,    -113,17032,deacmesf,index
20/05/25,82637,68107,   -3083,    1934,14530,deacmesf,index
13/05/25,85720,66173,     629,   13929,19547,deacmesf,index
06/05/25,85091,52244,    8065,    6081,32847,deacmesf,index
29/04/25,77026,46163,     363,    7180,30863,deacmesf,index
22/04/25,76663,38983,    4099,   -1787,37680,deacmesf,index
15/04/25,72564,40770,    -993,   -8523,31794,deacmesf,index
08/04/25,73557,49293,    3137,   -5949,24264,deacmesf,index
01/04/25,70420,55242,    8653,    2164,15178,deacmesf,index
25/03/25,61767,53078,  -14724,    -417,8689,deacmesf,index
18/03/25,76491,53495,   -6094,   -6361,22996,deacmesf,index
11/03/25,82585,59856,    -164,   -1127,22729,deacmesf,index
04/03/25,82749,60983,   -1133,    2878,21766,deacmesf,index
25/02/25,83882,58105,   -4035,  -19984,25777,deacmesf,index
18/02/25,87917,78089,   14406,   18014,9828,deacmesf,index
11/02/25,73511,60075,   -2293,    3249,13436,deacmesf,index
04/02/25,75804,56826,   -9883,    1830,18978,deacmesf,index
28/01/25,85687,54996,   14184,    1982,30691,deacmesf,index
21/01/25,71503,53014,    8654,     699,18489,deacmesf,index
14/01/25,62849,52315,   -7926,     310,10534,deacmesf,index
07/01/25,70775,52005,   -2594,    2544,18770,deacmesf,index
